long 16.9926180208333 lat 46.4576094791667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Window 90,Building 90,Infrastructure 90,Asphalt 88,Road surface 87,Architecture 85,Urban design 84,Mode of transport 84
long 16.9926180208333 lat 46.4576094791667 viewpoint 270 degrees.jpeg,Building 96,Cloud 92,Window 90,Sky 87,Asphalt 87,Urban design 85,Screenshot 83,Font 77,Road surface 76,Facade 74
long 16.9926180208333 lat 46.4576094791667 viewpoint 90 degrees.jpeg,Window 94,Building 91,Line 82,Font 82,Facade 79,Screenshot 79,Urban design 77,Wood 67,Games 66,Brick 64
long 16.9926298333333 lat 46.4573855 viewpoint 0 degrees.jpeg,Cloud 93,Window 92,Car 90,Building 90,Asphalt 88,Vehicle 86,Automotive lighting 85,Mode of transport 84,Sky 83,Tire 83
long 16.9926298333333 lat 46.4573855 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Building 90,Window 90,Infrastructure 90,Road surface 89,Asphalt 88,Thoroughfare 85,Urban design 84,Mode of transport 84
long 16.9926298333333 lat 46.4573855 viewpoint 270 degrees.jpeg,Window 95,Property 94,Building 92,Architecture 86,Door 84,Wood 83,Wall 82,Facade 80,Gas 78,Font 76
long 16.9926298333333 lat 46.4573855 viewpoint 90 degrees.jpeg,Building 88,Window 87,Door 86,Screenshot 80,Facade 79,House 79,Wood 78,Font 78,Tints and shades 76,Home door 75
long 16.992638875 lat 46.457539375 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Window 89,Asphalt 86,Road surface 85,Screenshot 83,Urban design 83,Font 83,Line 82,Building 80
long 16.992638875 lat 46.457539375 viewpoint 180 degrees.jpeg,Cloud 94,Sky 92,Window 90,Infrastructure 89,Asphalt 88,Road surface 88,Building 87,Architecture 86,Mode of transport 86,Motor vehicle 85
long 16.992638875 lat 46.457539375 viewpoint 270 degrees.jpeg,Property 94,Product 91,Building 89,Window 88,Font 83,Line 83,Wall 81,Screenshot 80,Facade 79,Gas 77
long 16.992638875 lat 46.457539375 viewpoint 90 degrees.jpeg,Building 95,Window 95,Rectangle 86,Architecture 85,Font 83,Line 82,Facade 80,Fixture 80,Brick 78,Automotive exterior 73
