long 16.987658 lat 46.455244 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.987658 lat 46.455244 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.9876598333333 lat 46.455291 viewpoint 0 degrees.jpeg,Building 90,Urban design 84,Window 81,Screenshot 79,Font 76,Facade 74,Display device 70,City 69,Multimedia software 69,Multimedia 69
long 16.9876598333333 lat 46.455291 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Light 91,Lighting 87,Asphalt 85,Urban design 85,Screenshot 83,Line 82,Font 81,Building 77
long 16.9876598333333 lat 46.455291 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.9876598333333 lat 46.455291 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.9876635 lat 46.455344 viewpoint 0 degrees.jpeg,Building 93,Window 92,Font 78,Urban design 78,Facade 76,Screenshot 74,Commercial building 73,City 72,Asphalt 69,Multimedia 64
long 16.9876635 lat 46.455344 viewpoint 180 degrees.jpeg,Cloud 95,Photograph 94,Building 90,Sky 86,Urban design 84,Asphalt 83,City 80,Screenshot 79,Font 76,Urban area 75
long 16.9876635 lat 46.455344 viewpoint 270 degrees.jpeg,Cloud 93,Sky 91,Building 89,Road surface 87,Asphalt 87,Urban design 86,Car 85,Mode of transport 84,Vehicle 84,Screenshot 83
long 16.9876635 lat 46.455344 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Photograph 94,Road surface 89,Infrastructure 89,Asphalt 88,Lighting 87,Thoroughfare 85,Mode of transport 85,Urban design 83
long 16.98767125 lat 46.4552365 viewpoint 0 degrees.jpeg,Building 90,Urban design 84,Window 81,Screenshot 79,Font 76,Facade 74,Display device 70,City 69,Multimedia software 69,Multimedia 69
long 16.98767125 lat 46.4552365 viewpoint 180 degrees.jpeg,Cloud 96,Sky 93,Light 91,Lighting 87,Asphalt 85,Urban design 85,Screenshot 83,Line 82,Font 81,Building 77
long 16.98767125 lat 46.4552365 viewpoint 270 degrees.jpeg,Cloud 93,Building 93,Infrastructure 89,Asphalt 88,Mode of transport 86,Road surface 86,Urban design 85,Thoroughfare 84,Sky 83,Car 82
long 16.98767125 lat 46.4552365 viewpoint 90 degrees.jpeg,Cloud 96,Sky 95,Window 92,Infrastructure 89,Asphalt 89,Lighting 86,Road surface 86,Mode of transport 85,Screenshot 82,Thoroughfare 82
long 16.9876795 lat 46.4553865 viewpoint 0 degrees.jpeg,Building 92,Window 92,Urban design 79,Font 78,Facade 76,Commercial building 74,Screenshot 73,City 72,Asphalt 67,Mixed-use 65
long 16.9876795 lat 46.4553865 viewpoint 180 degrees.jpeg,Cloud 95,Photograph 94,Building 90,Sky 86,Urban design 84,Asphalt 83,City 80,Screenshot 79,Font 76,Urban area 75
